word,variants,meaning,language_tag,difficulty,notes
CHOP,,To eat or consume food,pidgin,easy,Core slang - very common
GIST,,To discuss or tell stories,pidgin,easy,Common Nigerian slang
SAY,,To speak or utter words,ng_en,easy,English word
LAY,,To place something down,ng_en,easy,English word
STAY,,To remain in a place,ng_en,easy,English word
HALO,,A light ring around the head,ng_en,easy,English word
HALLOW,,To honor or respect as sacred,ng_en,medium,English word
HOLLOW,,Empty inside; not solid,ng_en,medium,English word
SLOW,,Moving at low speed,ng_en,easy,English word
LOW,,Below a certain level,ng_en,easy,English word
ALLOW,,To permit something,ng_en,easy,English word
HOLY,,Sacred or divine,ng_en,easy,English word
OWLY,,Resembling an owl,ng_en,medium,Rare English word
HOW,,In what way or manner,ng_en,easy,English word
OWL,,A nocturnal bird,ng_en,easy,English word
AWOL,,Absent without leave,ng_en,medium,Military term
WALL,,A barrier structure,ng_en,easy,English word
WALLOW,,To roll around in mud or water,ng_en,medium,English word
HALL,,A large room or corridor,ng_en,easy,English word
TOLL,,A fee charged for passage,ng_en,medium,English word
TALL,,Great in height,ng_en,easy,English word
CALL,,To summon or telephone,ng_en,easy,English word
FALL,,To drop downward,ng_en,easy,English word
ALL,,Everything without exception,ng_en,easy,English word
YAWL,,A two-masted sailing vessel,ng_en,hard,Nautical term
SHOUT,,To speak loudly,ng_en,easy,English word
ABOUT,,Concerning or approximately,ng_en,easy,English word
SHOUT,,To yell or cry out,ng_en,easy,English word
THOU,,You (archaic),ng_en,hard,Archaic English
LOUT,,A rude or clumsy person,ng_en,medium,English word
OUT,,Outside or external,ng_en,easy,English word
HOT,,Having high temperature,ng_en,easy,English word
SHOT,,Fired a projectile,ng_en,easy,English word
SHOT,,A photograph or drink,ng_en,easy,English word
SLAT,,A thin narrow piece of wood,ng_en,medium,English word
SLAY,,To kill or defeat utterly,ng_en,easy,Modern slang - slay queen!
PLAY,,To engage in recreation,ng_en,easy,English word
CLAY,,Fine sedimentary rock,ng_en,easy,English word
SLAB,,A thick flat piece,ng_en,medium,English word
STAB,,To pierce with a sharp object,ng_en,easy,English word
SLAP,,To hit with the palm,ng_en,easy,English word
SLOB,,A messy or lazy person,ng_en,medium,English word
SLOE,,A dark blue fruit,ng_en,hard,Botanical term
SLOW,,Moving at low speed,ng_en,easy,English word
SLOT,,A narrow opening,ng_en,easy,English word
LOST,,Unable to find the way,ng_en,easy,English word
LAST,,Final in sequence,ng_en,easy,English word
LASH,,To strike repeatedly,ng_en,medium,English word
HASTE,,Great speed or hurry,ng_en,medium,English word
TASTE,,The sense of flavor,ng_en,easy,English word
WASTE,,Unwanted or useless matter,ng_en,easy,English word
PASTE,,A thick soft substance,ng_en,easy,English word
BASTE,,To sew loosely,ng_en,medium,English word
CAST,,To throw or mold,ng_en,easy,English word
FAST,,Moving at high speed,ng_en,easy,English word
VAST,,Very great in size,ng_en,easy,English word
MAST,,Pole supporting a sail,ng_en,medium,English word
LAST,,Coming at the end,ng_en,easy,English word
BLAST,,A sudden burst or explosion,ng_en,easy,English word
GLASS,,Transparent hard material,ng_en,easy,English word
CLASS,,A group of students,ng_en,easy,English word
GRASS,,Green ground vegetation,ng_en,easy,English word
MASS,,A large amount or quantity,ng_en,easy,English word
BASS,,A type of fish or voice,ng_en,easy,English word
PASS,,To move beyond a point,ng_en,easy,English word
GAS,,Airlike fluid substance,ng_en,easy,English word
WAR,,Conflict between nations,ng_en,easy,English word
CAR,,Automobile vehicle,ng_en,easy,English word
BAR,,A drinking establishment,ng_en,easy,English word
TAR,,Black sticky substance,ng_en,easy,English word
FAR,,At great distance,ng_en,easy,English word
JAR,,A cylindrical container,ng_en,easy,English word
STAR,,Celestial body in space,ng_en,easy,English word
SCAR,,A mark left by a wound,ng_en,easy,English word
CHAR,,To burn to charcoal,ng_en,medium,English word
MARK,,A sign or symbol,ng_en,easy,English word
DARK,,Absence of light,ng_en,easy,English word
PARK,,A public recreational area,ng_en,easy,English word
BARK,,The sound a dog makes,ng_en,easy,English word
ARK,,A large boat or vessel,ng_en,medium,English word
LARK,,A small songbird,ng_en,medium,English word
WORK,,To perform labor,ng_en,easy,English word
FORK,,Utensil with prongs,ng_en,easy,English word
YORK,,A place name,ng_en,hard,Proper noun
YOLK,,The yellow part of an egg,ng_en,easy,English word
JOKE,,A humorous story,ng_en,easy,English word
POKE,,To prod with a finger,ng_en,easy,English word
WOKE,,Aware of social issues,pidgin,medium,Modern slang
BROKE,,Having no money,ng_en,easy,English word
SPOKE,,Talked or uttered,ng_en,easy,English word
SMOKE,,Visible vapor from fire,ng_en,easy,English word
STROKE,,To caress gently,ng_en,easy,English word
STOKE,,To tend a fire,ng_en,medium,English word
STAKE,,A pointed stick,ng_en,easy,English word
SHAKE,,To move rapidly back and forth,ng_en,easy,English word
SHALE,,A type of rock,ng_en,hard,Geological term
SHAPE,,The outline or form,ng_en,easy,English word
SHARE,,A portion or part,ng_en,easy,English word
SHORE,,The edge of water,ng_en,easy,English word
SCORE,,A point or musical notation,ng_en,easy,English word
SNORE,,The sound of sleeping breathing,ng_en,easy,English word
SPORE,,A reproductive cell,ng_en,hard,Botanical term
STORE,,A place to buy things,ng_en,easy,English word
SORE,,Painful or inflamed,ng_en,easy,English word
MORE,,Greater in amount,ng_en,easy,English word
BORE,,To make a hole or feel weary,ng_en,easy,English word
CORE,,The central part,ng_en,easy,English word
FORE,,Front or forward part,ng_en,medium,English word
WORE,,Past tense of wear,ng_en,easy,English word
TORE,,Past tense of tear,ng_en,easy,English word
SORE,,Painful or infected,ng_en,easy,English word
LORE,,Traditional knowledge,ng_en,hard,English word
POOR,,Having little money,ng_en,easy,English word
DOOR,,An entrance or exit,ng_en,easy,English word
FLOOR,,The bottom surface of a room,ng_en,easy,English word
MOOR,,Open landscape or to secure,ng_en,medium,English word
ROOF,,The top covering of building,ng_en,easy,English word
PROOF,,Evidence that something is true,ng_en,easy,English word
GOOF,,A silly or foolish person,ng_en,easy,English word
HOOF,,The foot of an animal,ng_en,easy,English word
ALOOF,,Distant or detached,ng_en,easy,English word
WAHALA,,Trouble or problem,pidgin,easy,Very Nigerian!
JOLLOF,,Type of rice dish,pidgin,easy,Popular West African dish
CHILLER,,A cool person or refrigerator,pidgin,easy,Slang for cool person
GAME,,A pastime or activity,ng_en,easy,English word
NAME,,A word by which someone is called,ng_en,easy,English word
SAME,,Identical or alike,ng_en,easy,English word
FAME,,Known by many people,ng_en,easy,English word
SHAME,,A feeling of humiliation,ng_en,easy,English word
BLAME,,Responsibility for wrongdoing,ng_en,easy,English word
FLAME,,A burning fire or intense feeling,ng_en,easy,English word
FRAME,,A structure or skeleton,ng_en,easy,English word
TAME,,Not wild or domesticated,ng_en,easy,English word
